label,input
cervical spondylosis,I've been having a lot of pain in my neck and back. I've also been having trouble with my balance and coordination. I've been coughing a lot and my limbs feel weak.
impetigo,"I have a rash on my face that is getting worse. It is red, inflamed, and has blisters that are bleeding clear pus. It is really painful."
urinary tract infection,I have been urinating blood. I sometimes feel sick to my stomach when I urinate. I often feel like I have a fever.
arthritis,I have been having trouble with my muscles and joints. My neck is really tight and my muscles feel weak. I have swollen joints and it is hard to move around without becoming stiff. It is also really uncomfortable to walk.
dengue,I have been feeling really sick. My body hurts a lot and I have no appetite. I have also developed rashes on my arms and face. The back of my eyes hurt a lot.
common cold,I've been feeling really run down and weak. My throat is sore and I've been coughing a lot. I've also been having chills and a fever.
dengue,"I have rashes all over my body. I also have a high fever, chills, headache, body aches, and pain behind my eyes."
dengue,"I have been feeling nauseous and have a constant urge to vomit, which is accompanied with mild fever and headache. I also feel very weak and tired. "
impetigo,"I have a rash around my nose that is red and inflamed. The rash has caused my skin to become dry and flaky, and there is a yellow colored fluid coming out of the sores."
drug reaction,I have a rash on my chest and back and it itches. I also have dry skin that sometimes flakes and leaves marks on my body.
arthritis,I've been experiencing stiffness in my neck and my joints have swollen. I've also been experiencing pain when I walk.
cervical spondylosis,I have been having a lot of pain in my back and neck. I also have a cough that won't go away and I feel weak and dizzy.
cervical spondylosis,"I have been having back pain, a cough, and weakness in my limbs. My neck is sore and I have been dizzy and have had trouble keeping my balance."
urinary tract infection,I have been vomiting and having pelvic pain. My pee sometimes has blood in it and it sometimes smells really bad. I sometimes have trouble falling asleep because of my migraines.
fungal infection,I have a rash on my skin that is itchy and has a different color than the rest of my skin. I also have some firm pimples or breakouts on my skin.
malaria,"I've been really itchy all over my body, and I've been getting chills and vomiting. My fever is really high, and I've been sweating a lot. I also have a headache, and I feel nauseous. My muscles are really sore."
allergy,"I'm always tired, and my mouth tastes terrible. My throat itches, and my muscles burn and ache. Sometimes I have cramps all over my body."
bronchial asthma,"I've been having a hard time breathing lately. I feel like I can't get enough air, and my chest feels tight. I've also been coughing a lot, and I've been producing a lot of mucus."
varicose veins,I have varicose veins in my legs. They are swollen and painful.
common cold,I've been feeling really sick. I've been really tired and I just don't feel good. I've had a bad cough and my throat is really sore. My nose is really congested and I have a lot of sinus pressure. I just feel really run down and miserable.
dengue,"I have a rash all over my body that is really itchy. I also have a fever, body aches, headache, and chills."
migraine,"I have been having headaches for a while now. They are very painful and last for a long time. I also get nausea, vomiting, and sensitivity to light and sound."
drug reaction,I have been having headaches and migraines. I have been having difficulty sleeping. I have been having muscle twitching and tremors. Sometimes I get lightheaded. I think it might be a reaction to my medication.
hypertension,"I've been having headaches, chest pain, dizziness, and trouble concentrating. I've also noticed that my balance has been off."
bronchial asthma,"I have a cough that has been going on for a few days, and I feel really weak and tired. I have a high fever, and my breathing is getting harder. I also cough up a lot of mucus."
